"nid","title","body"
11,"Biography","<p><br />
	<span><img align='left' alt='' hspace='10' src='/sites/default/files/deanatmic2.jpg' />Dean Sluyter has taught natural meditation since 1970 and</span>&nbsp;is the author of three books, the most recent being&nbsp;<strong><a href='/node/24'>Cinema Nirvana: Enlightenment Lessons from the Movies</a></strong>.&nbsp;He has given talks and led workshops throughout the U.S. at such venues as the&nbsp;Chautauqua Institution,&nbsp;New York Open Center, and&nbsp;Barre Center for Buddhist Studies, and has spoken at colleges including Columbia, Rutgers, Wesleyan, and the University of Pennsylvania. Dean has appeared in various media, including Oprah &amp; Friends Radio and National Public Radio; his work has been featured in The New York Times, USA Today, and Publishers Weekly, which called his writing &quot;joyously entertaining.&quot;&nbsp;A&nbsp;leading innovator in the use of meditative approaches in education,&nbsp;Dean taught&nbsp;from 1977 to 2010&nbsp;at The Pingry School,&nbsp;where he developed the <strong><a href='/content/meditation-classroom'>Literature of Enlightenment</a></strong> program, and worked&nbsp;beginning in 2005&nbsp;as a volunteer Buddhist chaplain at Northern State Prison in Newark, NJ.</p>
<p>Born into a family of musicians and political activists, Dean grew up in New York and Los Angeles. He dropped out of college to hitchhike around the country and embark on a path of spiritual investigation, eventually returning to earn a B.A. in English and an M.A. in interdisciplinary education. He was married for twenty-five years to the late artist and dharma teacher Maggy Sluyter and has two grown children. In 2010 he moved to California and married filmmaker Yaffa Lerea.<br />
	<br />
	<img align='right' alt='' hspace='10' src='/sites/default/files/DeanVespaMediumSmall.jpg' />Dean&nbsp;(a.k.a. Pritam)&nbsp;has trained and practiced with eminent teachers in various devotional and meditative traditions, with his main focus on the nondual approaches of&nbsp;Advaita, Buddhism, and Bhakti Yoga. He has completed numerous retreats in the U.S. and abroad and has made pilgrimages to India, Tibet, and Nepal. Dean now works as an <strong><a href='http://deansluyter.com/content/audiobooks'>audiobook narrator and producer</a></strong>&nbsp;and happily rides his Vespa through the streets of Santa Monica.</p>
<p>&nbsp;</p>
<p><br />
	<strong>TALKS AND WORKSHOPS</strong><br />
	<br />
	Dean's talks and workshops are noted for their clarity, warmth, and humor. Topics include:</p>
<ul>
	<li>
		Just Being: The Way of Natural Meditation and Self-Inquiry&nbsp;</li>
	<li>
		Breaking Out: Freedom from the &quot;I&quot;&nbsp;</li>
	<li>
		Shower the People You Love with Love&nbsp;</li>
	<li>
		Free Your Voice and Your Mind Will Follow&nbsp;</li>
	<li>
		Cinema Nirvana: Enlightenment Lessons from the Movies&nbsp;</li>
	<li>
		The Zen Commandments: Ten Suggestions for a Life of Inner Freedom&nbsp;</li>
	<li>
		Shakespeare's Cosmic Vision&nbsp;</li>
	<li>
		The Dude Abides: Enlightenment Teachings of <em>The Big Lebowski</em></li>
	<li>
		A Perfect Day for Nirvanafish: J.D. Salinger and the Spiritual Quest&nbsp;</li>
	<li>
		Meditation in the Classroom&nbsp;</li>
</ul>
<p>. . . and other topics as the occasion requires.<br />
	<br />
	<br />
	<img align='left' alt='' hspace='10' src='/sites/default/files/jazz2.jpg' /> Dean loves traveling and teaching. If you represent a school, a corporation, an organization, or a group of individuals who would be interested in attending a workshop, <strong><a href='mailto:deansluyter@gmail.com'>contact him</a></strong> about organizing one in your area. He is also happy to chat with book clubs and discussion groups anywhere in the world via <strong><a href='http://www.skype.com/'>Skype</a></strong> video calls.<br />
	<br />
	<br />
	<br />
	<strong>CONTACT</strong> <strong><a href='mailto:deansluyter@gmail.com'>deansluyter@gmail.com</a></strong><br />
	<br />
	<img alt='' src='/sites/default/files/MoojiDeanBWsmall2.jpg' style='margin: 10px; float: right; ' /><strong>VOICE WORK </strong>Information on Dean's audiobook narrating and producing services <strong><a href='http://deansluyter.com/content/audiobooks'>here</a></strong>.<br />
	<br />
	<strong>PRISON WORK </strong>Information on volunteering to teach dharma in prisons: <a href='http://www.liberationprisonproject.org/' target='_blank'><strong>Liberation Prison Projec</strong>t</a><br />
	<br />
	<strong>UNIVERSE </strong>Beautiful photos of our amazing universe: <strong><a href='http://antwrp.gsfc.nasa.gov/apod' target='_blank'>Astronomy Picture of the Day</a></strong><br />
	<br />
	<strong>MOOJI </strong>Highly, highly recommended &mdash; self-inquiry with the brilliant Advaita master Mooji: <strong><a href='http://mooji.org/' target='_blank'>Mooji.org</a></strong>&nbsp;<br />
	<br />
	<em>&quot;There is only Awareness, no 'one' being aware.&quot;<br />
	&nbsp;&nbsp; - Mooji</em></p>
<p>&nbsp;</p>
<p>&bull; A lively <a href='http://www.pctv76.org/show.php?epid=333' target='_blank'>TV interview</a> on the spiritual teachings of&nbsp;<em>Jaws</em>.<br />
	&bull;&nbsp;More TV and radio <a href='/node/13'>interviews</a>.&nbsp;<br />
	&nbsp;</p>
"
12,"Teaching Schedule","<p><img align='middle' alt='' height='409' src='/sites/default/files/Dean@NYOC.jpg' width='522' /></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style='font-size:24px;'><span style='color: rgb(255, 0, 0); '><span style=''><span style=''><span style=''><span style=''><span style=''><span style=''><strong>Recurring Events . . .</strong></span></span></span></span></span></span></span></span></p>
<p>&nbsp;</p>
<p><strong><img alt='' src='/sites/default/files/tibetanbells2.119202205_std.jpg' style='height: 160px; width: 240px; float: left; margin: 10px; ' />EVERY OTHER THURSDAY, 7:30 P.M., SANTA MONICA, CA</strong><br />
	Meditation/self-inquiry/discussion, led by Dean<br />
	725 Marine St., Santa Monica (corner of Ruskin, two blocks west of Lincoln)<br />
	Info: Dean, 908.295.2811 &mdash; Free</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong><img alt='' src='/sites/default/files/skypelogo_1.jpg' style='height: 252px; width: 240px; float: left; margin: 10px; ' />FIRST WEDNESDAY OF MOST MONTHS, 7:30 P.M., SCOTCH PLAINS, NJ</strong><br />
	Skype satsang with New Jersey Sangha<br />
	Meditation, self-inquiry, &amp; discussion<br />
	2219 Westfield Ave., Scotch Plains<br />
	Info: Dave Stanton, 908.875.9844 &mdash; Free</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong><img alt='' src='/sites/default/files/moojiganga2.jpg' style='height: 180px; width: 240px; margin: 10px; float: left; ' />FIRST SUNDAY OF MOST MONTHS, 11:00 A.M., SANTA MONICA, CA</strong><br />
	Video satsang with Mooji<br />
	725 Marine St., Santa Monica (corner of Ruskin, two blocks west of Lincoln)<br />
	Info: Dean, 908.295.2811 &mdash; Free</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style='font-size:24px;'><span style='color: rgb(255, 0, 0); '><span><span><span><span><span><span><strong>Special Events . . .</strong></span></span></span></span></span></span></span></span></p>
<p>&nbsp;</p>
<p><strong><img alt='' src='/sites/default/files/tibetanbells2.119202205_std.jpg' style='height: 160px; width: 240px; margin: 10px; float: left; ' />SUNDAY, APRIL 21, 9:00 A.M., ROSELLE PARK, NJ</strong><br />
	Meditation, self-inquiry, &amp; discussion with Dean<br />
	Hosted by NJ Sangha at Aikido Schools of NJ<br />
	324 W. Westfield Ave., rear<br />
	Info: Dave Stanton, 908.875.9844 &mdash; Free</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong><img alt='' src='/sites/default/files/kirtan3.jpg' style='height: 356px; width: 240px; margin: 10px; float: left; ' />SUNDAY, APRIL 21, 2:00 P.M., WESTFIELD, NJ</strong><br />
	Kirtan &mdash; joyous meditative chanting, with Dean and guest musicians<br />
	857 Bradford Ave., Westfield<br />
	Info: Dave Stanton, 908.875.9844 &mdash; Free</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><br />
	&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong><img alt='' src='/sites/default/files/tibetanbells2.119202205_std.jpg' style='height: 160px; width: 240px; margin: 10px; float: left; ' />WEDNESDAY, APRIL 24, 7:30 P.M., SCOTCH PLAINS, NJ</strong><br />
	Meditation, self-inquiry, &amp; discussion with Dean<br />
	2219 Westfield Ave., Scotch Plains<br />
	Info: Dave Stanton, 908.875.9844 &mdash; Free</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><br />
	<strong><img alt='' src='/sites/default/files/moojiganga2.jpg' style='height: 180px; width: 240px; margin: 10px; float: left; ' />SATURDAY, MAY 4, 12:00 NOON, SANTA MONICA, CA</strong><br />
	Live Skype satsang with Mooji<br />
	725 Marine St., Santa Monica (corner of Ruskin, two blocks west of Lincoln)<br />
	Info: Dean, 908.295.2811 &mdash; Free</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong><img alt='' src='/sites/default/files/yogaeastlogo.jpg' style='height: 113px; width: 240px; margin: 10px; float: left; ' />SATURDAY-SUNDAY, JULY 20-21, LOUISVILLE, KY</strong><br />
	Kirtan, Cinema Nirvana night, and meditation/inquiry workshop<br />
	Yoga East<br />
	<a href='http://www.facebook.com/photo.php?fbid=10151501794124244&amp;set=a.10150142663109244.298908.668724243&amp;type=1&amp;theater'><u><strong>Details here</strong></u></a></p>
<p><br />
	&nbsp;</p>
<p>&nbsp;</p>
<p><strong>NO EVENTS IN YOUR AREA?</strong><br />
	Dean travels. Contact him about setting up a talk, workshop, or other event at <a href='mailto:deansluyter@gmail.com'>deansluyter@gmail.com</a>.</p>
"
13,"Interviews in Streaming Media","<p><img alt='' src='/sites/default/files/ozfull.jpg' /></p>
<p><em>With Dr. Mehmet Oz, Oprah &amp; Friends Radio Interview</em></p>
<p>5-Minute TV Interview - &quot;The Zen Commandments,&quot; News 12 New Jersey - June 2001<br>
<iframe src='http://player.vimeo.com/video/56001481' width='500' height='375' frameborder='0' webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>
</p>
<p>55-Minute Radio Interview - &quot;Profiles,&quot; WFIU, Bloomington, Indiana - August 2004<br />
	<iframe frameborder='no' height='166' scrolling='no' src='http://w.soundcloud.com/player/?url=http%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F73940611&amp;show_artwork=false' width='100%'></iframe></p>
<p>12-Minute Radio Interview - &quot;Aielli on the Arts,&quot; KUT, Austin, Texas - June 2005<br />
	<iframe frameborder='no' height='166' scrolling='no' src='http://w.soundcloud.com/player/?url=http%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F72048822&amp;show_artwork=false' width='100%'></iframe></p>
<p>8-Minute Radio Interview - &quot;The Worldscape as Movie,&quot; New Dimensions Radio - October 2005<br />
	<iframe frameborder='no' height='166' scrolling='no' src='http://w.soundcloud.com/player/?url=http%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F72048823&amp;show_artwork=false' width='100%'></iframe></p>
<p><a href='http://www.pctv76.com/show.php?epid=333' target='_new'>1-Hour TV Interview - &quot;Spiritual Teachings of 'Jaws,' &quot; The Listening Place - Spring 2006</a></p>
"
14,"Meditation in the Classroom","<p>&nbsp;</p>
<p><img align='left' alt='' hspace='10' src='/sites/default/files/EnlitSmaller.jpg' vspace='3' /> The <strong>LITERATURE OF ENLIGHTENMENT</strong> program is probably the longest-running and most successful nonsectarian classroom meditation program in the United States. It is offered at <a href='http://www.pingry.k12.nj.us/'>The Pingry School</a>, a highly-regarded independent school in central New Jersey, where it is a spring-semester English elective available to juniors and seniors. The course was taught by Dean Sluyter from the late 1970s to 2010, and is now being carried on by others. Students read books approaching the idea of enlightenment from a number of angles and in several world-cultural contexts; they write papers ranging from Salingeresque stories about themselves to haiku journals and Socratic dialogues; and they engage in intensive &quot;lab work&quot; consisting of a variety of meditative techniques.</p>
<p><em>Hear a class session, an introduction to haiku in the context of the enlightenment process:</em></p>
<p><iframe frameborder='no' height='166' scrolling='no' src='https://w.soundcloud.com/player/?url=http%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F72048824&amp;color=ff6600&amp;auto_play=false&amp;show_artwork=false' width='100%'></iframe></p>
<p>The course enjoys strong support from both administration and parents, who generally note a positive effect on the students' behavior and attitudes. Students themselves report feeling less stressed yet more effective in their academic and personal lives. The anonymous evaluations they write at the end of the semester typically include such comments as, &quot;The course opened up a whole new world for me&quot; and &quot;None of my religious beliefs changed, but the course helped me find the spiritual content of my own religion.&quot; Self-destructive behavior such as eating disorders and substance abuse tends to lessen or fall away spontaneously. Graduates of the course now include many adults who, as they have built their families and careers, have continued to enrich their lives with meditative practice.<br />
	<br />
	In addition, beginning in fall 2002 Dean began conducting a new program of <strong>MINDFUL AWARENESS PRACTICE</strong>, which offers a guided sitting two mornings a week to all Pingry faculty and staff and to all students in grades nine through twelve. The program continues to prove highly popular, with a number of students and teachers coming on a regular basis.&nbsp;</p>
<p>&nbsp;</p>
<p>Below is the Literature of Enlightenment course description from The Pingry School Curriculum Guide 2009-2010:<br />
	<br />
	<strong>LITERATURE OF ENLIGHTENMENT (#A15212)</strong><br />
	<em>Major semester course. 1-1/2 credits. Forms V-VI.</em><br />
	<br />
	Is there a dimension of boundlessness behind the boundaries of everyday life? Can it be directly experienced? How might such an experience change our lives? In this course we seek to answer these questions through the study of literary and scriptural texts, both Eastern and Western, ancient and modern, as well as through techniques of inner exploration. We encounter the recurrent theme of transformative awakening, or enlightenment: the <em>satori</em> of Zen, the <em>rigpa</em> of the Tibetans, the &quot;zone&quot; of peak athletic performance and artistic creativity, Plato's vision of universal love, the Judeo-Christian kingdom of God within.<br />
	<br />
	Texts include <em>The Heart Sutra, The Gospel of Thomas, The Dharma Bums</em> (Kerouac), <em>The Symposium</em> (Plato), <em>Be Here Now</em> (Ram Dass), <em>Zen Flesh, Zen Bones</em> (Reps), <em>Franny and Zooey </em>(Salinger), <em>The Zen Commandments </em>(Sluyter), and ecstatic poetry of Basho, Blake, Dante, Kabir, Mirabai, and Rumi. Musical interludes may include Tibetan and Gregorian chant, Hindu <em>kirtan</em>, Sufi <em>qawwali</em>, and the devotional jazz of John Coltrane. Writing assignments include haiku, a Salingeresque fictional self-portrait, an original scripture, and a minutely mindful journal of the performance of an everyday activity.<br />
	<br />
	<strong>Lab: </strong>In the lab component of the course, students learn traditional techniques of sitting, walking, and breathing meditation, self-inquiry, compassion, and loving-kindness, for experiencing boundless awareness-space as described in the literature.<br />
	<br />
	<em>Copyright &copy; 1988-2009 The Pingry School</em></p>
"
16,"Why the Chicken Crossed the Road","<p><img align='left' alt='' src='/sites/default/files/wccrcover2.jpg' /> <strong>&quot;Subtle and imaginative . . . dazzling us with epiphanies . . . a surefire demonstration of why play is an essential ingredient in spiritual growth.&quot;<br />
	- <em>Values &amp; Visions</em></strong><br />
	<br />
	The great spiritual truths are right under your nose - in the songs, jokes, proverbs, and nursery rhymes you've known all your life.<br />
	<br />
	<strong>Why the Chicken Crossed the Road</strong> (Tarcher/Putnam, February 1998) invites the reader to join in the seriously playful adventure of &quot;digging the cosmic ordinary&quot; - exploring our cultural backyard to discover the profound wisdom hidden there in plain sight.<br />
	<br />
	In thirty-three illustrated mini-chapters, it traces the startling, sometimes hilarious connections between the highest revelations and the lowliest jingles, jokes, and cliches.<br />
	<br />
	Among them:</p>
<ul>
	<li>
		&quot;Knock-Knock, Who's There?&quot; teaches the same process of radical self-inquiry advocated by Hindu masters.</li>
	<li>
		&quot;Mary Had a Little Lamb&quot; expounds the way of love and devotion as eloquently as the Psalms or the Gospels.</li>
	<li>
		&quot;Easy Does It,&quot; a principle as precise as E=mc2, describes both the workings of the universe and the mechanics of meditation.&nbsp;</li>
	<li>
		&quot;Home on the Range&quot; celebrates the anarchic freedom of enlightenment.
		<ul>
		</ul>
	</li>
</ul>
<p>Author Dean Sluyter shows us that Christ and Buddha bring the same good news of cosmic liberation - and so do Mick Jagger and Ira Gershwin, Bugs Bunny and Alfred E. Neuman. Along the way, he tells lively stories that incorporate basketball and Sufi dancing, cowboy movies and Sabbath mysticism, bebop saxophone practice and Tibetan compassion practice. And he shares spiritual exercises (some traditional, some home-brewed) that are powerfully transformative.<br />
	<br />
	&quot;Sluyter's fresh, enticing and Dada-esque manifesto of found wisdom from the scrap heap of popular culture highlights the right stuff. This dean's instruction goes down easy, nourishes both heart and mind, and tickles the funny bone too. I found plenty of good eggs in his basket.&quot;<br />
	- Lama Surya Das, author of <em>Awakening the Buddha Within</em><br />
	<br />
	&quot;A brilliant, funny, profound and crazy vision of the sacredness in everyday life. I didn't know whether to laugh at its wit or cry at its insight. If Franny and Zooey are your friends, this book will mean a lot to you.&quot;<br />
	- Jane Cavolina, co-author of <em>Growing Up Catholic</em> <img alt='' src='/sites/default/files/dc.jpg' style='margin-left: 20px; margin-right: 20px; margin-top: 6px; margin-bottom: 6px; float: left; ' /><br />
	<br />
	&quot;This is a witty and wonderfully wise presentation of the freedom of non-desire (but I cannot guarantee that it liberates completely, because I often wished <em>I</em> had written it).&quot;<br />
	- Sylvia Boorstein, author of <em>It's Easier Than You Think</em><br />
	<br />
	&quot;Dean Sluyter is an enthusiast: for language, for life, and for the juice of it all: the rich living gravy that oozes out of every nuance of experience. The nature of reality is our most fundamental teacher and it speaks of itself everywhere and in everything; Dean Sluyter has listened to the rumours for years and now he presents them with delicious fun and lightness.&quot;<br />
	- Ngakpa Chogyam Rinpoche, author of <em>Wearing the Body of Visions</em></p>
<p>&nbsp;</p>
<p><span style='color:#ff0000;'><strong>Read a chapter </strong></span><u><span style='color:#0000ff;'><strong><a href='http://deansluyter.com/content/excerpt'>here</a></strong></span></u><strong></strong><span style='color:#ff0000;'><strong>.</strong></span></p>
<p><br />
	<strong>Get a Copy</strong><br />
	<br />
	<em>Why the Chicken Crossed the Road</em> is currently out of print, but copies can usually be found at online sources including <a href='http://www.amazon.com/Why-Chicken-Crossed-Road-Enlightenment/dp/0874779057/ref=pd_sim_m_5/002-4260499-7992829?ie=UTF8&amp;qid=1126889725/'>Amazon</a>.</p>
"
18,"Dean","<p>I am attaching images to page nodes using filefield/imagefield, NOT displaying it in the node, but rather displaying them in the right margin using views (block display).&nbsp; I am automatically resizing them using imagecache.&nbsp; Imagecache, as I just found out, resizes images on FIRST LOAD -- rather than on upload!&nbsp; Which I think is brilliant.</p><p>But I want it to ONLY display this block WHEN there are images attached to pages.</p><p>On this page : <a href='/node/19'>/node/19</a> -- there are no images.&nbsp; So, I don't want the sidebar to display...</p>"
19,"Books",""
20,"CD's",""
21,"Photos/Poems",""
22,"Questions","<p><a href='/node/add/question'>Ask Dean a Question!</a></p>"
